NJC;RU;NJC;"Nizhnevartovsk Airport";Нижневартовск;Asia/Yekaterinburg;60.9476;76.49145
BDI;SC;BDI;"Bird Island";Берд-Айленд;Indian/Mahe;-3.716667;55.216667
ARH;RU;ARH;"Talagi Airport";Талаги;Europe/Moscow;64.594795;40.711903
RTW;RU;RTW;"Saratov Tsentralny Airport";"Саратов Центральный";Europe/Samara;51.566666;46.066666
NNX;ID;NNX;Nunukan;;Asia/Makassar;4.15;117.65
IEV;UA;IEV;"Kyiv International Airport";Жуляны;Europe/Kiev;50.401943;30.450832
BAE;FR;BAE;Barcelonnette;Барселонетта;Europe/Paris;44.38333;6.666667
YSP;CA;YSP;Marathon;Марафон;America/Toronto;48.75;-86.35
VGZ;CO;VGZ;Villagarzon;Виллагарсон;America/Bogota;1.066667;-76.71667
UUS;RU;UUS;"Yuzhno-Sakhalinsk Airport";Южно-Сахалинск;Asia/Srednekolymsk;46.966667;142.75
NSO;AU;NSO;Scone;;Australia/Sydney;-32.03611;150.8325
FRA;DE;FRA;"Frankfurt Airport";Франкфурт-на-Майне;Europe/Berlin;50.050735;8.570773
YST;CA;YST;"Ste Therese Point";;America/Winnipeg;53.85;-94.65
SRV;US;SRV;"Stony River";;America/Anchorage;61.79111;-156.5861
BBW;US;BBW;"Broken Bow";;America/Chicago;41.4;-99.63333
XPN;CA;XPN;"Brampton Railway Station";;America/Toronto;;
ZYQ;US;SYR;"Syracuse Railway";"Сиракьюс (жд вокзал)";America/New_York;43.0481221;-76.1474244
KTB;US;KTB;"Thorne Bay";;America/Anchorage;55.68833;-132.535
KYN;GB;KYN;"Milton Keynes";Милтон-Кейнес;Europe/London;52.03428;-0.774107
NCE;FR;NCE;"Cote D'Azur Airport";"Кот Д'Азур";Europe/Paris;43.66049;7.205232
YSV;CA;YSV;Saglek;;America/Goose_Bay;58.583332;-62.5
KEJ;RU;KEJ;"Kemerovo Airport";Кемерово;Asia/Novokuznetsk;55.280567;86.11623
QWY;US;CVO;"Albany Bus Station";;America/Los_Angeles;;
SKK;US;SKK;"Shaktoolik Airport";Шактулик;America/Anchorage;64.324165;-161.13889
YTQ;CA;YTQ;"Tasiujuaq Airport";Тазиужак;America/Montreal;58.6678;-69.95633
AME;MZ;AME;"Alto Molocue";Альто-Молокуэ;Africa/Maputo;-15.833333;37.583332
